Datetime,Water Level (m)
2023-05-13 06:00:00,0.6178403
2023-05-13 07:00:00,0.58399665
2023-05-13 08:00:00,0.45885044
2023-05-13 09:00:00,0.30576319
2023-05-13 10:00:00,0.18041642
2023-05-13 11:00:00,0.10320227
2023-05-13 12:00:00,0.06685959
2023-05-13 13:00:00,0.06033445
2023-05-13 14:00:00,0.16672283
2023-05-13 15:00:00,0.40183792
2023-05-13 16:00:00,0.61991316
2023-05-13 17:00:00,0.7755032
2023-05-13 18:00:00,0.8730784
2023-05-13 19:00:00,0.875433
2023-05-13 20:00:00,0.75071627
2023-05-13 21:00:00,0.5507984
2023-05-13 22:00:00,0.3868094
2023-05-13 23:00:00,0.27140027
2023-05-14 00:00:00,0.18411449
2023-05-14 01:00:00,0.10447637
2023-05-14 02:00:00,0.026963048
2023-05-14 03:00:00,-0.011999651
2023-05-14 04:00:00,0.111682884
2023-05-14 05:00:00,0.3453323
2023-05-14 06:00:00,0.54919463
2023-05-14 07:00:00,0.6526934
2023-05-14 08:00:00,0.65248775
2023-05-14 09:00:00,0.5248534
2023-05-14 10:00:00,0.35214958
2023-05-14 11:00:00,0.19735874
2023-05-14 12:00:00,0.08388648
2023-05-14 13:00:00,-0.002517268
2023-05-14 14:00:00,-0.07729507
2023-05-14 15:00:00,-0.13486494
2023-05-14 16:00:00,-0.16299242
2023-05-14 17:00:00,0.009667072
2023-05-14 18:00:00,0.3117235
2023-05-14 19:00:00,0.53207433
2023-05-14 20:00:00,0.6587318
2023-05-14 21:00:00,0.68648005
2023-05-14 22:00:00,0.6029053
2023-05-14 23:00:00,0.43272802
2023-05-15 00:00:00,0.29147202
2023-05-15 01:00:00,0.16859163
2023-05-15 02:00:00,0.078104936
2023-05-15 03:00:00,0.01573281
2023-05-15 04:00:00,0.041786727
2023-05-15 05:00:00,0.29335123
2023-05-15 06:00:00,0.55932844
2023-05-15 07:00:00,0.7664264
2023-05-15 08:00:00,0.90133345
2023-05-15 09:00:00,0.9615381
2023-05-15 10:00:00,0.895162
2023-05-15 11:00:00,0.7197842
2023-05-15 12:00:00,0.5476525
2023-05-15 13:00:00,0.4156396
2023-05-15 14:00:00,0.30362582
2023-05-15 15:00:00,0.22850958
2023-05-15 16:00:00,0.21293856
2023-05-15 17:00:00,0.44509578
2023-05-15 18:00:00,0.7280734
2023-05-15 19:00:00,0.9532034
2023-05-15 20:00:00,1.1073872
2023-05-15 21:00:00,1.1756535
2023-05-15 22:00:00,1.1221387
2023-05-15 23:00:00,0.9419906
2023-05-16 00:00:00,0.73435134
2023-05-16 01:00:00,0.58743197
2023-05-16 02:00:00,0.47222352
2023-05-16 03:00:00,0.38528988
2023-05-16 04:00:00,0.31446713
2023-05-16 05:00:00,0.3667395
2023-05-16 06:00:00,0.6739367
2023-05-16 07:00:00,0.95537955
2023-05-16 08:00:00,1.1512306
2023-05-16 09:00:00,1.2875463
2023-05-16 10:00:00,1.3370806
2023-05-16 11:00:00,1.2417854
2023-05-16 12:00:00,1.0216117
2023-05-16 13:00:00,0.7912728
2023-05-16 14:00:00,0.64679575
2023-05-16 15:00:00,0.5157686
2023-05-16 16:00:00,0.43022516
2023-05-16 17:00:00,0.39104882
2023-05-16 18:00:00,0.55106455
2023-05-16 19:00:00,0.8463556
2023-05-16 20:00:00,1.086923
2023-05-16 21:00:00,1.2187381
2023-05-16 22:00:00,1.2646981
2023-05-16 23:00:00,1.156987
2023-05-17 00:00:00,0.9316871
2023-05-17 01:00:00,0.75182945
2023-05-17 02:00:00,0.5962752
2023-05-17 03:00:00,0.479543
2023-05-17 04:00:00,0.38579676
2023-05-17 05:00:00,0.31263828
2023-05-17 06:00:00,0.3757006
2023-05-17 07:00:00,0.71434474
2023-05-17 08:00:00,1.0102427
2023-05-17 09:00:00,1.2078706
2023-05-17 10:00:00,1.3482423
2023-05-17 11:00:00,1.3639516
2023-05-17 12:00:00,1.1865599
2023-05-17 13:00:00,0.95494807
2023-05-17 14:00:00,0.77178335
2023-05-17 15:00:00,0.59925455
2023-05-17 16:00:00,0.5199942
2023-05-17 17:00:00,0.42571408
2023-05-17 18:00:00,0.37486535
2023-05-17 19:00:00,0.5516474
2023-05-17 20:00:00,0.8464484
2023-05-17 21:00:00,1.0803224
2023-05-17 22:00:00,1.1987334
2023-05-17 23:00:00,1.2053225
2023-05-18 00:00:00,1.0469049
2023-05-18 01:00:00,0.84081835
2023-05-18 02:00:00,0.6659369
2023-05-18 03:00:00,0.5148794
2023-05-18 04:00:00,0.39681995
2023-05-18 05:00:00,0.30019498
2023-05-18 06:00:00,0.2397886
2023-05-18 07:00:00,0.4295333
2023-05-18 08:00:00,0.778612
2023-05-18 09:00:00,1.0481398
2023-05-18 10:00:00,1.2249544
2023-05-18 11:00:00,1.3186798
2023-05-18 12:00:00,1.2551713
2023-05-18 13:00:00,1.0378436
2023-05-18 14:00:00,0.8350159
2023-05-18 15:00:00,0.67609644
2023-05-18 16:00:00,0.55172586
2023-05-18 17:00:00,0.45027855
2023-05-18 18:00:00,0.34915316
2023-05-18 19:00:00,0.31428197
2023-05-18 20:00:00,0.5704243
2023-05-18 21:00:00,0.8656131
2023-05-18 22:00:00,1.0746408
2023-05-18 23:00:00,1.1550341
2023-05-19 00:00:00,1.1104345
2023-05-19 01:00:00,0.9179078
2023-05-19 02:00:00,0.7337926
2023-05-19 03:00:00,0.5728812
2023-05-19 04:00:00,0.4360775
2023-05-19 05:00:00,0.32790202
2023-05-19 06:00:00,0.24215215
